date, pm25, pm10, o3, no2, so2, co, year
6/7, 53, , 27, 1, , 1, 2021
6/8, 30, , 25, 1, , 1, 2021
6/9, 13, , 24, 1, , 1, 2021
6/10, 9, , 22, 1, , 1, 2021
6/11, 9, , 22, 2, , 1, 2021
6/12, 10, , 19, 2, , 1, 2021
6/13, 10, , 15, 1, , 1, 2021
6/14, 9, , 23, 1, , 1, 2021
6/15, 9, , 20, 2, , 1, 2021
6/16, 22, , 21, 7, , 2, 2021
6/17, 43, , 22, 10, , 2, 2021
6/18, 56, , 27, 4, , 2, 2021
6/19, 64, , 25, 1, , 1, 2021
6/20, 55, , 25, 1, , 1, 2021
6/21, 20, , 23, 1, , 1, 2021
6/22, 14, , 19, 2, , 1, 2021
6/23, 10, , 17, 1, , 1, 2021
6/24, 7, , 20, 1, , 1, 2021
6/25, 7, , 18, 1, , 1, 2021
6/26, 9, , 16, 1, , 1, 2021
